#num	clst	ipv	ip	tcp	qopt	ttl	olen	mss	wsize_ws	num_tcpopt	tcpopt	pldl	Nclass	Nprog	Nver	class	prog	ver	vOS	comment
151	0x08	0x00	0x40	0x12	0x0040	64	0	0	65535,0	4	0x02,0x01,0x01,0x08	0	2	4	36	unix	FreeBSD	8.x-9.x	 unix,win	 FreeBSD
152	0x00	0x00	0x40	0x12	0x0040	64	0	1460	16384,0	4	0x02,0x01,0x01,0x04	0	2	3	29	unix	OpenBSD	5.x	 unix,win	 OpenBSD
153	0x00	0x00	0x40	0x12	0x0040	64	0	1460	16384,3	3	0x02,0x01,0x03	0	2	3	29	unix	OpenBSD	5.x	 unix,win	 OpenBSD
154	0x00	0x00	0x40	0x12	0x0040	64	0	1460	16384,3	6	0x02,0x01,0x01,0x04,0x01,0x03	0	2	3	29	unix	OpenBSD	5.x	 unix,win	 OpenBSD
155	0x00	0x00	0x40	0x12	0x0040	64	0	1460	16384,0	4	0x02,0x01,0x01,0x08	0	2	3	29	unix	OpenBSD	5.x	 unix,win	 OpenBSD
156	0x00	0x00	0x40	0x12	0x0040	64	0	1460	16384,0	7	0x02,0x01,0x01,0x04,0x01,0x01,0x08	0	2	3	29	unix	OpenBSD	5.x	 unix,win	 OpenBSD
157	0x00	0x00	0x40	0x12	0x0040	64	0	1460	16384,3	6	0x02,0x01,0x03,0x01,0x01,0x08	0	2	3	29	unix	OpenBSD	5.x	 unix,win	 OpenBSD
158	0x00	0x00	0x40	0x12	0x0040	64	0	1460	16384,3	9	0x02,0x01,0x01,0x04,0x01,0x03,0x01,0x01,0x08	0	2	3	29	unix	OpenBSD	5.x	 unix,win	 OpenBSD
159	0x08	0x00	0x40	0x12	0x0040	64	0	0	65535,0	3	0x02,0x01,0x03	0	2	6	7	unix	MacOSX	10.x	 unix,win	 Mac OS X
160	0x08	0x00	0x40	0x12	0x0040	64	0	0	65535,0	3	0x02,0x04,0x0100	0	2	6	7	unix	MacOSX	10.x	 unix,win	 Mac OS X
161	0x08	0x00	0x40	0x12	0x0040	64	0	0	65535,0	4	0x02,0x01,0x01,0x08	0	2	6	7	unix	MacOSX	10.x	 unix,win	 Mac OS X
162	0x08	0x00	0x40	0x12	0x0040	64	0	0	65535,0	5	0x02,0x01,0x03,0x04,0x0100	0	2	6	7	unix	MacOSX	10.x	 unix,win	 Mac OS X
163	0x08	0x00	0x40	0x12	0x0040	64	0	0	65535,0	6	0x02,0x01,0x03,0x01,0x01,0x08	0	2	6	7	unix	MacOSX	10.x	 unix,win	 Mac OS X
164	0x08	0x00	0x40	0x12	0x0040	64	0	0	65535,0	6	0x02,0x01,0x01,0x08,0x04,0x0100	0	2	6	7	unix	MacOSX	10.x	 unix,win	 Mac OS X
165	0x08	0x00	0x40	0x12	0x0040	64	0	0	65535,0	8	0x02,0x01,0x03,0x01,0x01,0x08,0x04,0x0100	0	2	6	7	unix	MacOSX	10.x	 unix,win	 Mac OS X
166	0x0a	0x04	0x40	0x12	0x0040	255	0	0	7,0	1	0x02	0	2	5	30	unix	Solaris	6	 unix,win	 Solaris
167	0x0a	0x04	0x40	0x12	0x0040	255	0	0	7,0	3	0x01,0x03,0x02	0	2	5	30	unix	Solaris	6	 unix,win	 Solaris
168	0x0a	0x04	0x40	0x12	0x0040	255	0	0	7,0	4	0x01,0x01,0x08,0x02	0	2	5	30	unix	Solaris	6	 unix,win	 Solaris
169	0x0a	0x04	0x40	0x12	0x0040	255	0	0	7,0	6	0x01,0x01,0x08,0x01,0x03,0x02	0	2	5	30	unix	Solaris	6	 unix,win	 Solaris
170	0x0a	0x00	0x40	0x12	0x0040	64	0	0	19,0	1	0x02	0	2	5	34	unix	Solaris	8	 unix,win	 Solaris
171	0x0a	0x00	0x40	0x12	0x0040	64	0	0	19,0	3	0x01,0x03,0x02	0	2	5	34	unix	Solaris	8	 unix,win	 Solaris
172	0x0a	0x00	0x40	0x12	0x0040	64	0	0	19,0	4	0x01,0x01,0x08,0x02	0	2	5	34	unix	Solaris	8	 unix,win	 Solaris
173	0x0a	0x00	0x40	0x12	0x0040	64	0	0	19,0	4	0x01,0x01,0x04,0x02	0	2	5	34	unix	Solaris	8	 unix,win	 Solaris
174	0x0a	0x00	0x40	0x12	0x0040	64	0	0	19,0	6	0x01,0x01,0x08,0x01,0x03,0x02	0	2	5	34	unix	Solaris	8	 unix,win	 Solaris
175	0x0a	0x00	0x40	0x12	0x0040	64	0	0	19,0	6	0x01,0x03,0x01,0x01,0x04,0x02	0	2	5	34	unix	Solaris	8	 unix,win	 Solaris
176	0x0a	0x00	0x40	0x12	0x0040	64	0	0	19,0	7	0x01,0x01,0x08,0x01,0x01,0x04,0x02	0	2	5	34	unix	Solaris	8	 unix,win	 Solaris
177	0x0a	0x00	0x40	0x12	0x0040	64	0	0	19,0	9	0x01,0x01,0x08,0x01,0x03,0x01,0x01,0x04,0x02	0	2	5	34	unix	Solaris	8	 unix,win	 Solaris
178	0x0a	0x00	0x40	0x12	0x0040	64	0	0	37,0	1	0x02	0	2	5	5	unix	Solaris	10	 unix,win	 Solaris
179	0x0a	0x00	0x40	0x12	0x0040	64	0	0	37,0	3	0x02,0x01,0x03	0	2	5	5	unix	Solaris	10	 unix,win	 Solaris
180	0x0a	0x00	0x40	0x12	0x0040	64	0	0	37,0	4	0x01,0x01,0x08,0x02	0	2	5	5	unix	Solaris	10	 unix,win	 Solaris
181	0x0a	0x00	0x40	0x12	0x0040	64	0	0	37,0	4	0x02,0x01,0x01,0x04	0	2	5	5	unix	Solaris	10	 unix,win	 Solaris
182	0x0a	0x00	0x40	0x12	0x0040	64	0	0	37,0	6	0x01,0x01,0x08,0x02,0x01,0x03	0	2	5	5	unix	Solaris	10	 unix,win	 Solaris
183	0x0a	0x00	0x40	0x12	0x0040	64	0	0	37,0	6	0x02,0x01,0x03,0x01,0x01,0x04	0	2	5	5	unix	Solaris	10	 unix,win	 Solaris
184	0x0a	0x00	0x40	0x12	0x0040	64	0	0	37,0	7	0x01,0x01,0x08,0x02,0x01,0x01,0x04	0	2	5	5	unix	Solaris	10	 unix,win	 Solaris
185	0x0a	0x00	0x40	0x12	0x0040	64	0	0	37,0	9	0x01,0x01,0x08,0x02,0x01,0x03,0x01,0x01,0x04	0	2	5	5	unix	Solaris	10	 unix,win	 Solaris
186	0x08	0x00	0x40	0x12	0x0040	64	0	0	32768,0	1	0x02	0	2	7	8	unix	HP-UX	11.x	 unix,win	 Solaris
187	0x08	0x00	0x40	0x12	0x0040	64	0	0	32768,0	3	0x02,0x03,0x01	0	2	7	8	unix	HP-UX	11.x	 unix,win	 Solaris
188	0x08	0x00	0x40	0x12	0x0040	64	0	0	32768,0	4	0x02,0x01,0x01,0x08	0	2	7	8	unix	HP-UX	11.x	 unix,win	 Solaris
189	0x08	0x00	0x40	0x12	0x0040	64	0	0	32768,0	4	0x02,0x01,0x01,0x04	0	2	7	8	unix	HP-UX	11.x	 unix,win	 Solaris
190	0x08	0x00	0x40	0x12	0x0040	64	0	0	32768,0	6	0x02,0x03,0x01,0x01,0x01,0x08	0	2	7	8	unix	HP-UX	11.x	 unix,win	 Solaris
191	0x08	0x00	0x40	0x12	0x0040	64	0	0	32768,0	6	0x02,0x01,0x01,0x04,0x03,0x01	0	2	7	8	unix	HP-UX	11.x	 unix,win	 Solaris
192	0x08	0x00	0x40	0x12	0x0040	64	0	0	32768,0	7	0x02,0x01,0x01,0x04,0x01,0x01,0x08	0	2	7	8	unix	HP-UX	11.x	 unix,win	 Solaris
193	0x08	0x00	0x40	0x12	0x0040	64	0	0	32768,0	9	0x02,0x01,0x01,0x04,0x03,0x01,0x01,0x01,0x08	0	2	7	8	unix	HP-UX	11.x	 unix,win	 Solaris
194	0x00	0x04	0x00	0x12	0x0000	64	0	1460	3993,0	1	0x02	0	3	8	33	other	OpenVMS	7.x	 unix,win	 OpenVMS
195	0x00	0x04	0x00	0x12	0x0000	64	0	1460	3993,0	3	0x02,0x01,0x03	0	3	8	33	other	OpenVMS	7.x	 unix,win	 OpenVMS
196	0x02	0x04	0x40	0x12	0x0040	64	0	1460	36500,0	3	0x02,0x01,0x03	0	2	16	27	unix	Tru64	4.x	 unix,win	 Tru64
197	0x02	0x04	0x40	0x12	0x0040	64	0	1460	36500,0	1	0x02	0	2	16	27	unix	Tru64	4.x	 unix,win	 Tru64
